Index,Analysis ,PopularSkills,NumberofDataProfiles
0,FALSE,.NET,"5,399"
0,FALSE,3D Rendering,"2,022"
0,FALSE,Account Management,"13,486"
0,FALSE,Account Sales,"2,857"
0,FALSE,Accounting,"10,489"
0,FALSE,Accounts Payable,"16,132"
0,FALSE,Accounts Receivable,"17,077"
0,FALSE,Activities for Children,"5,860"
0,FALSE,Acute Care,"10,895"
0,FALSE,Administration,"10,805"
0,FALSE,Adobe After Effects,"1,437"
0,FALSE,Adobe Illustrator,"6,707"
0,FALSE,Adobe InDesign,"6,225"
0,FALSE,Adobe Photoshop,"11,940"
0,FALSE,ADP Payroll System,"2,191"
0,FALSE,Advertising,"2,862"
0,FALSE,Agile Software Development,"4,916"
0,FALSE,Amazon Web Services (AWS),"1,847"
0,FALSE,Anesthesia,"2,331"
0,FALSE,Angular.js,"1,633"
0,FALSE,Applicant Tracking System (ATS) Software,"2,463"
1,TRUE,Applied Behavioral Analysis (ABA),"1,230"
0,FALSE,ASP.NET Framework,"1,312"
0,FALSE,Assembler,"2,497"
0,FALSE,Assisted Living,"2,171"
0,FALSE,Audio Visual Equipment Use,"1,054"
0,FALSE,Auditing,"5,857"
0,FALSE,Autism Spectrum Disorders (ASD),"1,555"
0,FALSE,Autodesk AutoCAD,"13,383"
0,FALSE,Autodesk AutoCAD Civil 3d,"1,692"
0,FALSE,Autodesk Revit Architecture,"3,596"
0,FALSE,Automotive Engine Repair,"2,753"
0,FALSE,Banking,"3,277"
0,FALSE,Benefits & Compensation,"7,616"
0,FALSE,Benefits Administration,"4,806"
1,TRUE,Big Data Analytics,"1,401"
0,FALSE,Bill Collections,"3,767"
0,FALSE,Billing,"10,582"
0,FALSE,Biotechnology,"1,890"
0,FALSE,Blueprints,"10,526"
0,FALSE,Bookkeeping,"6,227"
0,FALSE,Branding,"3,947"
0,FALSE,Budget Management,"16,011"
0,FALSE,Budgeting,"3,837"
1,TRUE,Business Analysis,"9,475"
0,FALSE,Business Development,"7,894"
0,FALSE,Business Intelligence,"2,093"
0,FALSE,Business Strategy,"4,965"
0,FALSE,Business to Business (B2B) Sales,"1,203"
0,FALSE,C Programming Language,"2,059"
0,FALSE,C# Programming Language,"8,399"
0,FALSE,C++ Programming Language,"4,976"
0,FALSE,Cabinetry Installation,"1,639"
0,FALSE,CAD/CAM,"1,104"
0,FALSE,Call Center Operations,"2,528"
0,FALSE,Cardiology,"2,936"
0,FALSE,Cascading Style Sheets (CSS),"2,392"
0,FALSE,Case Management,"13,622"
0,FALSE,Cash Handling,"11,052"
0,FALSE,Change Management,"1,267"
0,FALSE,Chemical Process Engineering,"1,417"
0,FALSE,Childhood Education,"9,197"
0,FALSE,Cisco Networking,"2,743"
0,FALSE,Claim Handling,"3,426"
0,FALSE,Cleaning,"8,471"
0,FALSE,Client Interaction,"19,441"
0,FALSE,Clinical Education,"1,457"
0,FALSE,Clinical Research,"2,534"
0,FALSE,Clinical Supervision,"4,564"
0,FALSE,Cloud Computing,"1,324"
0,FALSE,CNC/NC,"2,458"
0,FALSE,Commercial,"7,526"
0,FALSE,Commercial Loans,"1,209"
0,FALSE,Community Outreach / Activism,"1,918"
0,FALSE,Computed Tomography (CT),"1,095"
0,FALSE,Computer Aided Design (CAD),"6,606"
0,FALSE,Computer Aided Drafting & Design (CADD),"2,356"
0,FALSE,Computer Hardware Technician,"2,849"
0,FALSE,Construction Estimating,"5,604"
0,FALSE,Construction Site Inspection,"1,890"
0,FALSE,Consulting Management,"1,457"
0,FALSE,Content Management,"2,970"
0,FALSE,Contract Management,"3,751"
0,FALSE,Contract Negotiation,"7,754"
0,FALSE,Contractor Management,"4,576"
0,FALSE,Controls,"1,275"
0,FALSE,Copywriting,"3,402"
0,FALSE,Corporate Communications,"2,274"
0,FALSE,Cost Accounting,"1,075"
0,FALSE,Counseling,"10,429"
0,FALSE,Course Design,"1,317"
0,FALSE,Crisis Intervention,"3,506"
0,FALSE,Critical Care,"5,786"
0,FALSE,Current Procedural Terminology (CPT) Coding,"1,220"
0,FALSE,Curriculum Planning,"8,891"
0,FALSE,Customer Relations,"19,258"
0,FALSE,Customer Relationship Management (CRM),"21,726"
0,FALSE,Customer Service,"114,094"
0,FALSE,Customer Service Metrics,"1,351"
0,FALSE,Cyber Security,"3,316"
1,TRUE,Data Analysis,"41,150"
0,FALSE,Data Collection,"1,328"
0,FALSE,Data Entry,"25,885"
0,FALSE,Data Management,"1,303"
0,FALSE,Data Modeling,"2,010"
0,FALSE,Data Processing,"2,403"
0,FALSE,Database Administration,"1,098"
0,FALSE,Database Management & Reporting,"4,674"
0,FALSE,Design,"7,396"
0,FALSE,Diagnosis and Treatment Planning,"6,297"
0,FALSE,Dialysis,"1,928"
0,FALSE,Digital Marketing,"2,231"
0,FALSE,Disability Support,"1,576"
0,FALSE,Document Management,"2,038"
0,FALSE,Document Preparation,"5,995"
0,FALSE,Donor Relations,"1,503"
0,FALSE,Drafting Correspondence,"2,218"
0,FALSE,Driver/Core Development,"1,528"
0,FALSE,Editing,"5,264"
0,FALSE,Elder Care,"12,290"
0,FALSE,Electronic Equipment Installation,"1,908"
0,FALSE,Electronic Medical Records (EMR),"13,817"
0,FALSE,Electronic Troubleshooting,"10,380"
0,FALSE,Email Marketing,"4,766"
0,FALSE,Embedded / Real-Time / RTOS,"1,095"
0,FALSE,Emergency Response,"1,701"
0,FALSE,Emergency Room (ER),"4,114"
0,FALSE,Emergency/Trauma,"2,839"
0,FALSE,Employee Relations,"13,076"
0,FALSE,Engineering Design,"25,570"
0,FALSE,English Language,"3,337"
0,FALSE,Environmental Compliance,"1,537"
0,FALSE,Environmental Consulting,"1,901"
0,FALSE,Equipment Maintenance,"8,184"
0,FALSE,"ETL (Extract, transform, load)","1,180"
0,FALSE,Event Management,"3,996"
0,FALSE,Event Planning,"10,295"
0,FALSE,Executive Support,"1,823"
0,FALSE,Facilitator,"1,457"
0,FALSE,Facility Maintenance & Coordination,"5,326"
0,FALSE,Family Practice,"4,531"
0,FALSE,Field Sales,"2,311"
0,FALSE,Filing,"1,823"
0,FALSE,Filing Court Documents,"1,934"
1,TRUE,Financial Analysis,"20,269"
0,FALSE,Financial Compliance,"1,040"
0,FALSE,Financial Modeling,"4,235"
0,FALSE,Financial Reporting,"20,805"
1,TRUE,Finite Element Analysis (FEA),"1,237"
0,FALSE,Flooring Installation,"1,403"
0,FALSE,Food Preparation,"6,723"
0,FALSE,Food Safety,"2,067"
0,FALSE,Forecasting,"4,838"
0,FALSE,Full-Cycle Recruiting,"4,970"
0,FALSE,Fundraising,"3,498"
0,FALSE,General Ledger Accounting,"13,333"
0,FALSE,General Surgery,"1,966"
0,FALSE,Generalist Duties,"2,010"
0,FALSE,Geographic Information Systems (GIS),"1,960"
0,FALSE,Geriatrics,"13,402"
1,TRUE,Google Analytics,"1,390"
0,FALSE,Grant Writing,"1,502"
0,FALSE,Graphic Design,"7,944"
0,FALSE,Group Therapy,"3,091"
0,FALSE,HAZMAT,"1,728"
0,FALSE,Health and Wellness,"1,982"
0,FALSE,Heavy Equipment Operation,"3,719"
0,FALSE,Heavy Equipment Repair,"1,967"
0,FALSE,Help Desk / Desktop Support,"2,440"
0,FALSE,Help Desk / Desktop Support (Tier 2),"4,080"
0,FALSE,HIPAA Compliance,"1,308"
0,FALSE,Hiring,"3,440"
0,FALSE,Home Care,"1,563"
0,FALSE,Home Health/Home Care,"10,230"
0,FALSE,Hospice,"2,227"
0,FALSE,Hospice Care,"1,217"
0,FALSE,HTML,"2,866"
0,FALSE,HTML5,"1,717"
0,FALSE,Human Resources (HR),"14,580"
0,FALSE,Human Resources Information System (HRIS),"4,730"
0,FALSE,HVAC System Design,"1,183"
0,FALSE,Information Technology (IT) Support,"7,651"
0,FALSE,Inside Sales,"2,908"
0,FALSE,Instrument Control,"2,417"
0,FALSE,Insurance,"13,881"
0,FALSE,Intensive Care Unit (ICU),"4,159"
0,FALSE,Internal Audit,"2,875"
0,FALSE,Internal Medicine,"1,942"
0,FALSE,International Statistical Classifications of Diseases - 10 (ICD - 10) Coding,"1,594"
0,FALSE,Intuit QuickBooks,"3,495"
0,FALSE,Inventory Control,"7,696"
0,FALSE,Inventory Management,"17,577"
0,FALSE,Investment Management,"1,070"
0,FALSE,IT Consulting,"1,960"
0,FALSE,IT Management,"2,909"
0,FALSE,IT Security & Infrastructure,"4,481"
0,FALSE,Java,"10,958"
0,FALSE,Java/J2EE,"1,221"
0,FALSE,JavaScript,"12,732"
0,FALSE,Job Scheduling,"3,625"
0,FALSE,Jobsite Delivery,"2,156"
0,FALSE,"Labor & Delivery, Birthing","1,322"
0,FALSE,Leadership,"44,280"
0,FALSE,Lean Manufacturing,"3,620"
0,FALSE,Legal Compliance,"3,915"
0,FALSE,Legal Document Review,"2,808"
0,FALSE,Legal Research,"4,068"
0,FALSE,Linux,"4,089"
0,FALSE,Litigation Case Management,"3,010"
0,FALSE,Loan Processing,"1,187"
0,FALSE,Loan Underwriting,"1,580"
0,FALSE,Logistics,"6,836"
0,FALSE,Long Term Care,"16,323"
0,FALSE,Machine Learning,"2,621"
0,FALSE,Machine Operation,"12,372"
0,FALSE,"Machine Programming, Manufacturing","1,830"
0,FALSE,Maintenance,"12,807"
0,FALSE,Manufacturing Fabrication,"2,502"
0,FALSE,Manufacturing Process Engineering,"3,832"
0,FALSE,Market Research,"2,796"
0,FALSE,Marketing Communications,"15,438"
0,FALSE,Marketing Management,"6,751"
0,FALSE,Materials Requirement Planning (MRP),"1,975"
0,FALSE,Matlab,"1,697"
0,FALSE,Media / Public Relations,"4,381"
0,FALSE,Medicaid & Medicare Billing,"2,411"
0,FALSE,Medical Coding,"3,051"
0,FALSE,Medical Records,"2,425"
0,FALSE,Medical Terminology,"5,392"
0,FALSE,Medication Administration,"1,570"
0,FALSE,Medicine / Surgery,"8,414"
0,FALSE,Menu Planning,"1,892"
